,agencyId,id,propertyDetailsUrl,agencyName,agencyProfilePageUrl,agent,bathrooms,bedrooms,carspaces,postcode,propertyType,result,state,streetName,streetNumber,streetType,suburb,geoLocation.latitude,geoLocation.longitude,unitNumber,price
852,3938,2018064534,https://www.domain.com.au/31a-clyde-street-highett-vic-3190-2018064534,Buxton Hampton East,https://www.domain.com.au/real-estate-agencies/buxtonhamptoneast-3938,Buxton Hampton East,3.0,4,2.0,3190,Townhouse,AUSD,Vic,Clyde,31a,St,Highett,-37.9445202,145.0307995,,1665000.0
853,30117,2018019309,https://www.domain.com.au/6a-muir-street-highett-vic-3190-2018019309,Jellis Craig Bentleigh,https://www.domain.com.au/real-estate-agencies/jelliscraigbentleigh-30117,Jellis Craig Bentleigh,1.0,3,3.0,3190,House,PTSD,Vic,Muir,6A,St,Highett,-37.9456308,145.0357942,,
854,29612,2017994582,https://www.domain.com.au/4-carroll-road-highton-vic-3216-2017994582,Villarosa Real Estate,https://www.domain.com.au/real-estate-agencies/villarosarealestate-29612,Villarosa Business Brokers,2.0,4,2.0,3216,House,PTSD,Vic,Carroll,4,Rd,Highton,-38.1526875,144.3142052,,
855,29612,2017952183,https://www.domain.com.au/78-highland-way-highton-vic-3216-2017952183,Villarosa Real Estate,https://www.domain.com.au/real-estate-agencies/villarosarealestate-29612,Villarosa Business Brokers,2.0,4,2.0,3216,House,PTSD,Vic,Highland,78,Wy,Highton,-38.1693217,144.2952987,,
856,18426,2018005055,https://www.domain.com.au/34-valencay-avenue-highton-vic-3216-2018005055,Ray White Highton,https://www.domain.com.au/real-estate-agencies/raywhitehighton-18426,Ray White Highton,2.0,3,2.0,3216,House,PTSD,Vic,Valencay,34,Av,Highton,-38.15863969999999,144.3026815,,895000.0
857,21762,2018051990,https://www.domain.com.au/283-roslyn-road-highton-vic-3216-2018051990,Compton Green Geelong,https://www.domain.com.au/real-estate-agencies/comptongreengeelong-21762,Compton Green Geelong,1.0,3,3.0,3216,House,AUSA,Vic,Roslyn,283,Rd,Highton,-38.1725306,144.3168089,,960000.0
858,6500,2018063040,https://www.domain.com.au/2-126-south-valley-road-highton-vic-3216-2018063040,Barry Plant Highton,https://www.domain.com.au/real-estate-agencies/barryplanthighton-6500,BP Real Estate Highton,2.0,3,2.0,3216,Townhouse,AUSP,Vic,South Valley,126,Rd,Highton,-38.1834644,144.3161684,2,
859,11770,2018069260,https://www.domain.com.au/69-marslens-road-hill-end-vic-3825-2018069260,Harcourts Moe - Newborough,https://www.domain.com.au/real-estate-agencies/harcourtsmoenewborough-11770,HAR Moe Newborough,1.0,3,2.0,3825,House,PTSD,Vic,Marslens,69,Rd,Hill End,-38.0273338,146.1709302,,
860,18474,2018064574,https://www.domain.com.au/34-kenswick-drive-hillside-vic-3037-2018064574,My Agent Real Estate,https://www.domain.com.au/real-estate-agencies/myagentrealestate-18474,My Agent Real Estate,2.0,4,2.0,3037,House,AUSN,Vic,Kenswick,34,Dr,Hillside,-37.6877157,144.7568021,,
861,8505,2017912655,https://www.domain.com.au/13-royal-crescent-hillside-vic-3037-2017912655,Professionals - Taylors Lakes,https://www.domain.com.au/real-estate-agencies/professionalstaylorslakes,Profesionals Taylors Lakes,2.0,3,2.0,3037,House,AUSD,Vic,Royal,13,Cr,Hillside,-37.6892896,144.7385648,,1030000.0
862,8505,2018061083,https://www.domain.com.au/20-waters-way-hillside-vic-3037-2018061083,Professionals - Taylors Lakes,https://www.domain.com.au/real-estate-agencies/professionalstaylorslakes,Profesionals Taylors Lakes,2.0,4,2.0,3037,House,AUPN,Vic,Waters,20,Wy,Hillside,-37.6881164,144.7318287,,
863,7307,2017977664,https://www.domain.com.au/1-9-anastasia-court-hillside-vic-3037-2017977664,Pennisi Real Estate,https://www.domain.com.au/real-estate-agencies/pennisirealestate-7307,Pennisi Real Estate,2.0,3,2.0,3037,Unit,PTSD,Vic,Anastasia,9,Ct,Hillside,-37.7005559,144.7452559,1,520000.0
864,4692,2018060327,https://www.domain.com.au/18-king-drive-hillside-vic-3037-2018060327,Barry Plant Taylors Lakes,https://www.domain.com.au/real-estate-agencies/barryplanttaylorslakes-4692,BP Taylors Lakes,2.0,3,2.0,3037,Terrace,PTSD,Vic,King,18,Dr,Hillside,-37.6893845,144.7321154,,631000.0
865,4692,2018063429,https://www.domain.com.au/1-8-lorraine-court-hillside-vic-3037-2018063429,Barry Plant Taylors Lakes,https://www.domain.com.au/real-estate-agencies/barryplanttaylorslakes-4692,BP Taylors Lakes,2.0,3,1.0,3037,Townhouse,PTSD,Vic,Lorraine,8,Ct,Hillside,-37.7033782,144.7445016,1,540000.0
866,26079,2017981873,https://www.domain.com.au/8-dennys-street-hopetoun-vic-3396-2017981873,NorthWest Real Estate,https://www.domain.com.au/real-estate-agencies/northwestrealestate-26079,Northwest Real Estate,1.0,3,1.0,3396,House,PTSD,Vic,Dennys,8,St,Hopetoun,-35.728231,142.3660159,,185000.0
867,27443,2017959325,https://www.domain.com.au/39-lascelles-street-hopetoun-vic-3396-2017959325,Harcourts Horsham,https://www.domain.com.au/real-estate-agencies/harcourtshorsham-27443,HAR Horsham,1.0,4,2.0,3396,House,PTSD,Vic,Lascelles,39,St,Hopetoun,-35.7248771,142.3629786,,229000.0
868,26079,2018006654,https://www.domain.com.au/2-phillips-street-hopetoun-vic-3396-2018006654,NorthWest Real Estate,https://www.domain.com.au/real-estate-agencies/northwestrealestate-26079,Northwest Real Estate,1.0,2,1.0,3396,House,PTSD,Vic,Phillips,2,St,Hopetoun,-35.733056,142.367089,,
